Frequency	Magnitude	Phase
0.0000	3.6092	-4.2670
0.1562	4.2131	1.7229
0.3124	5.3611	-3.6742
0.4686	6.2106	-4.3826
0.6248	3.3679	-5.4918
0.7810	5.1447	4.1960
0.9372	3.8545	-2.7078
1.0934	5.0419	3.0430
1.2496	6.1637	-6.0287
1.4058	6.4715	-4.1755
1.5620	6.7393	4.6157
1.7182	4.3011	0.5626
1.8744	5.5549	-4.4603
2.0306	3.7222	1.4967
2.1868	5.3507	0.0690
2.3430	5.8908	4.6885
2.4992	6.6410	1.5575
2.6554	6.9621	5.6856
2.8116	6.0444	-0.5549
2.9678	6.8737	4.2251
3.1240	5.4784	-1.9658
3.2802	4.4574	3.4850
3.4364	4.5756	-3.7590
3.5926	6.4339	-2.6998
3.7488	6.5344	-4.6267
3.9050	4.3986	-2.2617
4.0612	7.0988	-0.3841
4.2174	6.6874	-2.5041
4.3736	6.1225	-3.9378
4.5298	5.7859	-5.0065
4.6860	6.2926	-3.2429
4.8422	6.0266	0.6458
4.9984	4.2938	-8.7241
5.1546	6.5502	-0.2266
5.3108	6.2409	-1.5340
5.4670	4.6641	0.5820
5.6232	4.8240	-4.4816
5.7794	6.2793	-1.4053
5.9356	6.5017	-2.5173
6.0918	8.1474	-3.9741
6.2480	4.6173	-6.7726
6.4042	5.2809	-3.8156
6.5604	5.7882	-2.7152
6.7167	3.2494	-7.0074
6.8729	6.5679	-1.1215
7.0291	5.6118	-6.1893
7.1853	4.6857	-4.0712
7.3415	5.3244	-8.8162
7.4977	3.5844	-4.5522
7.6539	5.3783	-3.9953
7.8101	4.9487	-0.4895
7.9663	6.6209	-7.0938
8.1225	8.3326	-3.0424
8.2787	5.2762	-4.4537
8.4349	4.8718	-7.3369
8.5911	6.3709	-9.4695
8.7473	5.3003	-4.8023
8.9035	7.9108	-0.7789
9.0597	4.6923	-8.2156
9.2159	8.2773	-6.5969
9.3721	5.1248	1.8028
9.5283	7.2447	-6.0414
9.6845	7.0282	-8.9635
9.8407	5.4753	-6.8058
9.9969	6.2648	-7.4174
10.1531	5.5593	-4.5284
10.3093	8.0886	0.7409
10.4655	5.7506	-6.5295
10.6217	4.9277	-3.7927
10.7779	5.6006	-1.8579
10.9341	6.8827	-4.5712
11.0903	5.5623	1.9625
11.2465	5.7518	-9.1609
11.4027	4.4354	-3.8997
11.5589	7.5684	-14.3371
11.7151	4.4327	-2.3078
11.8713	6.1506	-5.4734
12.0275	6.9643	-1.1293
12.1837	5.7998	-11.3493
12.3399	6.8216	-8.5496
12.4961	6.3635	-13.3415
12.6523	7.9956	-7.9025
12.8085	6.8983	-2.9456
12.9647	7.6822	-6.5895
13.1209	6.8911	-8.4783
13.2771	3.6349	-13.9455
13.4333	4.7307	-10.3583
13.5895	5.5843	-11.8705
13.7457	5.1429	-7.3088
13.9019	8.4671	-6.1962
14.0581	7.2364	-8.6798
14.2143	4.6879	-15.7148
14.3705	6.5860	-14.3763
14.5267	7.4192	-8.0709
14.6829	6.4026	-8.8655
14.8391	5.0066	-10.6697
14.9953	7.8187	-6.6739
15.1515	5.8706	-8.9845
15.3077	7.0128	-12.8713
15.4639	7.2050	-10.8877
15.6201	5.4080	-13.4385
15.7763	7.3082	-8.6585
15.9325	5.1437	-13.6906
16.0887	6.5303	-10.9371
16.2449	4.7644	-7.4454
16.4011	4.7146	-10.3107
16.5573	6.7184	-12.0466
16.7135	5.5211	-6.5413
16.8697	7.9542	-8.0437
17.0259	6.2283	-8.4587
17.1821	7.7270	-12.5574
17.3383	5.9965	-11.4642
17.4945	6.7772	-4.3809
17.6507	7.0668	-9.9451
17.8069	8.9582	-7.7399
17.9631	6.0619	-8.6979
18.1193	8.4431	-12.9076
18.2755	6.9087	-9.0738
18.4317	8.6289	-4.8649
18.5879	8.0798	-11.9267
18.7441	6.3151	-15.9406
18.9003	5.4817	-18.0670
19.0565	8.2968	-4.9101
19.2127	5.6928	-12.3340
19.3689	8.5224	-7.7761
19.5251	7.1108	-14.3777
19.6813	8.8233	-6.6285
19.8376	5.7531	-13.6580
19.9938	7.9046	-7.6578
20.1500	8.0902	-13.1857
20.3062	7.0899	-20.0035
20.4624	8.5343	-19.0354
20.6186	6.8951	-6.4363
20.7748	6.7598	-18.1953
20.9310	7.8820	-6.8837
21.0872	5.0871	-15.1556
21.2434	7.8141	-15.7787
21.3996	8.7420	-7.6612
21.5558	6.9288	-10.6079
21.7120	6.1012	-1.6961
21.8682	8.6350	-13.4016
22.0244	7.0402	-10.6835
22.1806	8.7795	-17.6575
22.3368	7.7767	-12.7321
22.4930	8.4222	-9.3684
22.6492	8.6516	-12.3271
22.8054	8.3802	-15.9778
22.9616	7.4520	-4.0245
23.1178	5.6000	-16.5011
23.2740	5.8615	-18.8482
23.4302	7.7188	-15.6079
23.5864	7.9135	-13.2897
23.7426	7.7913	-2.2942
23.8988	9.0772	-18.2926
24.0550	6.6984	-8.7314
24.2112	7.8819	-16.1239
24.3674	7.2424	-18.3441
24.5236	5.5283	-15.8896
24.6798	8.4742	-14.2118
24.8360	8.7260	-20.8432
24.9922	8.8079	-15.1369
25.1484	8.6571	-16.0675
25.3046	6.6344	-20.4362
25.4608	10.2939	-6.8303
25.6170	8.3906	-11.9782
25.7732	8.5348	-19.5584
25.9294	7.3321	-21.1006
26.0856	8.9018	-20.6748
26.2418	6.4332	-11.4858
26.3980	10.2108	-20.7016
26.5542	9.3940	-13.5753
26.7104	9.9548	-15.1483
26.8666	8.2644	-18.2925
27.0228	9.8883	-13.9897
27.1790	8.3233	-14.2021
27.3352	10.3661	-16.7508
27.4914	9.3218	-14.1066
27.6476	8.3970	-18.8376
27.8038	8.7941	-21.6964
27.9600	9.1401	-18.1080
28.1162	9.7523	-15.7192
28.2724	8.7277	-22.4533
28.4286	7.7506	-16.7763
28.5848	7.0324	-17.6011
28.7410	9.3755	-8.2240
28.8972	9.3415	-19.0740
29.0534	10.1613	-18.1991
29.2096	9.6853	-20.6458
29.3658	10.6481	-14.1247
29.5220	8.5287	-18.9030
29.6782	10.1398	-16.1356
29.8344	7.6156	-20.4402
29.9906	9.2547	-15.9963
30.1468	8.7968	-17.8569
30.3030	8.8535	-17.0619
30.4592	9.9744	-18.3817
30.6154	10.3891	-22.4015
30.7716	8.6219	-23.3018
30.9278	9.6135	-21.5954
31.0840	10.7257	-11.0905
31.2402	10.6264	-16.8913
31.3964	11.3712	-18.3435
31.5526	10.4974	-26.5730
31.7088	10.7936	-19.8196
31.8650	9.1413	-21.4978
32.0212	10.9761	-15.1386
32.1774	9.1608	-18.7491
32.3336	9.9958	-22.3133
32.4898	8.6166	-20.5562
32.6460	11.8069	-17.4260
32.8022	10.7097	-18.7027
32.9585	9.8712	-28.5390
33.1147	11.4241	-18.2255
33.2709	10.7634	-21.7401
33.4271	9.2948	-20.9402
33.5833	12.0500	-25.5945
33.7395	9.8539	-25.3139
33.8957	10.9836	-25.1588
34.0519	9.9082	-28.5013
34.2081	10.8132	-18.8796
34.3643	11.7372	-23.3791
34.5205	12.0461	-22.7848
34.6767	11.0049	-24.0662
34.8329	11.8638	-24.4344
34.9891	9.9237	-26.5781
35.1453	10.4613	-16.8021
35.3015	10.8535	-24.8082
35.4577	11.4894	-16.5776
35.6139	11.8553	-16.4068
35.7701	12.0434	-23.3780
35.9263	10.3207	-22.6002
36.0825	12.1206	-19.6658
36.2387	11.3849	-16.8925
36.3949	11.9813	-26.9527
36.5511	11.7457	-19.7413
36.7073	12.3873	-21.8338
36.8635	15.0573	-30.1430
37.0197	11.9910	-23.0344
37.1759	12.0062	-25.9057
37.3321	10.2374	-23.3547
37.4883	11.8390	-21.7372
37.6445	12.5189	-20.9487
37.8007	11.7240	-23.8424
37.9569	12.9797	-27.0160
38.1131	14.1112	-24.0551
38.2693	11.5703	-29.3795
38.4255	14.0672	-18.1232
38.5817	12.8932	-23.5989
38.7379	12.5074	-17.3951
38.8941	12.5939	-21.9933
39.0503	12.0238	-20.1739
39.2065	13.2580	-29.9351
39.3627	12.7151	-16.5896
39.5189	12.1488	-23.6229
39.6751	12.3732	-22.1526
39.8313	15.7421	-20.2524
39.9875	13.4448	-30.2503
40.1437	12.9957	-12.5273
40.2999	12.5107	-34.7949
40.4561	12.3534	-19.6827
40.6123	14.6307	-22.7875
40.7685	13.5053	-27.4272
40.9247	14.4810	-15.2287
41.0809	14.3215	-27.3850
41.2371	14.7761	-22.3016
41.3933	11.9953	-30.1286
41.5495	13.8926	-27.1681
41.7057	13.5637	-39.6172
41.8619	14.1313	-29.3584
42.0181	13.0647	-32.6585
42.1743	15.3538	-29.3477
42.3305	14.4509	-23.7296
42.4867	13.5035	-29.6754
42.6429	13.6227	-35.0471
42.7991	15.8063	-26.5516
42.9553	12.2395	-26.2476
43.1115	16.4093	-22.2883
43.2677	14.6044	-27.4120
43.4239	14.1747	-24.2804
43.5801	16.0970	-25.0145
43.7363	15.5364	-28.5989
43.8925	12.6573	-21.7433
44.0487	14.8831	-25.9623
44.2049	16.9620	-23.1157
44.3611	15.3290	-33.5941
44.5173	16.1144	-34.9717
44.6735	16.2025	-17.4921
44.8297	13.6982	-28.6919
44.9859	17.3959	-20.7333
45.1421	15.1364	-29.9636
45.2983	16.3552	-30.2968
45.4545	16.7940	-26.3074
45.6107	15.1877	-36.0534
