Frequency	Magnitude	Phase
45.7669	17.5458	-28.0265
45.9231	16.5341	-30.1102
46.0794	15.1661	-34.2633
46.2356	18.1437	-26.3184
46.3918	16.2658	-25.9848
46.5480	15.1491	-25.2683
46.7042	18.6753	-24.9566
46.8604	16.1199	-27.7951
47.0166	17.8213	-32.6792
47.1728	17.8440	-23.5081
47.3290	15.2125	-23.4904
47.4852	16.1756	-25.7336
47.6414	14.5838	-30.3368
47.7976	16.0315	-30.3748
47.9538	20.7136	-27.5855
48.1100	17.2295	-27.0056
48.2662	19.1630	-30.9468
48.4224	17.5487	-35.2346
48.5786	15.1822	-28.7506
48.7348	17.9438	-31.1439
48.8910	16.6304	-33.0902
49.0472	18.4997	-30.5947
49.2034	17.8163	-30.8020
49.3596	16.9561	-30.1929
49.5158	19.0734	-25.6049
49.6720	18.8783	-25.3891
49.8282	16.4676	-32.3148
49.9844	22.0956	-32.7212
50.1406	16.5719	-32.0868
50.2968	19.6068	-36.3306
50.4530	17.8153	-28.1823
50.6092	18.8872	-35.7191
50.7654	17.8666	-33.9997
50.9216	20.0247	-34.3552
51.0778	21.1905	-27.4268
51.2340	18.9760	-29.3108
51.3902	18.9034	-30.4003
51.5464	20.7159	-31.2522
51.7026	20.4046	-30.6170
51.8588	19.6019	-27.3522
52.0150	18.9983	-31.6203
52.1712	21.0577	-33.9764
52.3274	19.9827	-29.6021
52.4836	21.4042	-30.8098
52.6398	20.4352	-29.8287
52.7960	19.2091	-32.2583
52.9522	19.0205	-26.8401
53.1084	21.6572	-34.6364
53.2646	20.2708	-28.7545
53.4208	20.1150	-31.4142
53.5770	21.2391	-31.2043
53.7332	22.4181	-28.2306
53.8894	20.6443	-29.4829
54.0456	23.8796	-31.9614
54.2018	19.5954	-32.7195
54.3580	21.7138	-31.9518
54.5142	22.0893	-34.1005
54.6704	22.9306	-34.6451
54.8266	22.8733	-32.3610
54.9828	23.4274	-29.1570
55.1390	23.3537	-33.9778
55.2952	20.2887	-31.6059
55.4514	23.3485	-35.7700
55.6076	23.4412	-34.6329
55.7638	22.3921	-35.2336
55.9200	23.4373	-32.3798
56.0762	21.7968	-38.2768
56.2324	22.8434	-33.3534
56.3886	22.9623	-35.9018
56.5448	22.0045	-32.3955
56.7010	24.5539	-30.7852
56.8572	23.8349	-39.5527
57.0134	24.0555	-34.3943
57.1696	24.4297	-37.5043
57.3258	24.6416	-37.1912
57.4820	26.2466	-37.1607
57.6382	23.6686	-35.5750
57.7944	24.5812	-38.3322
57.9506	25.0028	-38.4073
58.1068	25.2336	-42.6337
58.2630	27.0763	-37.1072
58.4192	24.4525	-38.5002
58.5754	24.1243	-30.8152
58.7316	24.7225	-33.1641
58.8878	25.7383	-37.3454
59.0440	24.1699	-34.3720
59.2002	25.6650	-40.4389
59.3565	24.8987	-39.3206
59.5127	26.1704	-31.7511
59.6689	27.8077	-36.7218
59.8251	25.9188	-39.8903
59.9813	26.9688	-35.2439
60.1375	26.8174	-38.6915
60.2937	25.6797	-33.6693
60.4499	27.9567	-26.4321
60.6061	27.7990	-29.6997
60.7623	28.2560	-36.2955
60.9185	25.2603	-38.6869
61.0747	26.8793	-40.2892
61.2309	27.4054	-38.6468
61.3871	26.1896	-29.6311
61.5433	25.9323	-34.5887
61.6995	29.3248	-39.2614
61.8557	27.4358	-37.0344
62.0119	27.4587	-31.2865
62.1681	26.7775	-43.0250
62.3243	30.1730	-43.4384
62.4805	28.2468	-42.4138
62.6367	30.5234	-33.0127
62.7929	29.1453	-36.7229
62.9491	29.8284	-33.0947
63.1053	29.1682	-43.2484
63.2615	30.1886	-37.8342
63.4177	30.8777	-32.5137
63.5739	27.7662	-32.1799
63.7301	28.8223	-40.6229
63.8863	28.9730	-31.4891
64.0425	31.2335	-45.1028
64.1987	29.2929	-41.5153
64.3549	29.4851	-39.3229
64.5111	30.3738	-43.9914
64.6673	31.6344	-38.3819
64.8235	31.8587	-44.2520
64.9797	30.1589	-44.0630
65.1359	33.0272	-41.5705
65.2921	31.9180	-38.9432
65.4483	31.4687	-44.4008
65.6045	30.9016	-32.5690
65.7607	31.9580	-38.8791
65.9169	31.5496	-38.9824
66.0731	30.7414	-46.3120
66.2293	33.7424	-46.8024
66.3855	33.8926	-43.5212
66.5417	31.8421	-41.0083
66.6979	34.8763	-34.8930
66.8541	30.7856	-38.7721
67.0103	34.7123	-42.1896
67.1665	33.6079	-37.7939
67.3227	32.2877	-44.4851
67.4789	33.6771	-44.4682
67.6351	32.9858	-43.2688
67.7913	33.0046	-42.5655
67.9475	33.3768	-35.3090
68.1037	32.8577	-42.3988
68.2599	37.3834	-48.7073
68.4161	32.8523	-40.4494
68.5723	35.3309	-46.3538
68.7285	35.2524	-41.9676
68.8847	36.9886	-36.0171
69.0409	35.2656	-45.2433
69.1971	34.8225	-32.4412
69.3533	34.3357	-37.2036
69.5095	34.8391	-44.9942
69.6657	34.0732	-38.7159
69.8219	34.2747	-44.1352
69.9781	34.2608	-43.1871
70.1343	36.2042	-39.5658
70.2905	36.8181	-51.0211
70.4467	35.6876	-48.1396
70.6029	37.6857	-46.3556
70.7591	36.1829	-37.4326
70.9153	36.9924	-42.0037
71.0715	36.1753	-42.6077
71.2277	39.1941	-45.9432
71.3839	36.1381	-43.8645
71.5401	36.3233	-42.9917
71.6963	37.4940	-41.0832
71.8525	39.1513	-46.1043
72.0087	39.2338	-38.5739
72.1649	37.8477	-49.5463
72.3211	39.1199	-46.0851
72.4774	39.4147	-42.1090
72.6336	37.1152	-42.7681
72.7898	36.8099	-41.1707
72.9460	37.7375	-44.3603
73.1022	39.9428	-47.4731
73.2584	40.9337	-49.7532
73.4146	38.1156	-38.5632
73.5708	36.0866	-47.3392
73.7270	39.5579	-47.3118
73.8832	41.3120	-47.7071
74.0394	39.6248	-41.0786
74.1956	41.3507	-41.9244
74.3518	38.4909	-38.5534
74.5080	42.2391	-39.4416
74.6642	40.6772	-48.2122
74.8204	39.5104	-37.3320
74.9766	39.9000	-51.9122
75.1328	42.0218	-52.0557
75.2890	40.8717	-49.7078
75.4452	40.0596	-50.4767
75.6014	41.4039	-54.3696
75.7576	42.4280	-49.5028
75.9138	42.6968	-46.8074
76.0700	43.0578	-44.8740
76.2262	42.2821	-44.8419
76.3824	42.2384	-47.1568
76.5386	42.6230	-48.3346
76.6948	42.6815	-47.4199
76.8510	42.1001	-40.9394
77.0072	43.4375	-45.1920
77.1634	42.9095	-49.1010
77.3196	43.9135	-40.9040
77.4758	42.4754	-39.8514
77.6320	45.3150	-50.5304
77.7882	43.9063	-47.0511
77.9444	43.1410	-50.7347
78.1006	42.7324	-45.5604
78.2568	43.1227	-45.0150
78.4130	42.9674	-44.8312
78.5692	44.8138	-49.9474
78.7254	45.4511	-45.9010
78.8816	44.2180	-41.4509
79.0378	44.4133	-45.5862
79.1940	42.9754	-48.1519
79.3502	43.2218	-48.6334
79.5064	41.0465	-47.2941
79.6626	44.7425	-55.1874
79.8188	43.8285	-51.2606
79.9750	43.0564	-43.5941
80.1312	44.9144	-47.5615
80.2874	44.7752	-42.3196
80.4436	44.2381	-46.8135
80.5998	44.3635	-43.8206
80.7560	46.1952	-50.0145
80.9122	46.1445	-42.2443
81.0684	45.0070	-55.4450
81.2246	46.7877	-46.2338
81.3808	46.5118	-47.1012
81.5370	46.5237	-57.3482
81.6932	45.9479	-46.7809
81.8494	49.2927	-48.9954
82.0056	48.1797	-51.8454
82.1618	47.8341	-50.5068
82.3180	46.9358	-53.7634
82.4742	47.3608	-52.2969
82.6304	48.7893	-52.6399
82.7866	48.7095	-46.0449
82.9428	45.7214	-48.3671
83.0990	47.0422	-50.2126
83.2552	47.5304	-48.6128
83.4114	47.9864	-45.7593
83.5676	46.9342	-51.2797
83.7238	48.8606	-49.9503
83.8800	46.2520	-42.9037
84.0362	47.6002	-46.8625
84.1924	47.2775	-48.3120
84.3486	46.5188	-54.2692
84.5048	47.6513	-46.5346
84.6610	49.2543	-54.2421
84.8172	46.8695	-45.2946
84.9734	48.6124	-50.4160
85.1296	50.1548	-55.9263
85.2858	49.4439	-56.8717
85.4420	47.1443	-54.3480
85.5983	49.5910	-49.0649
85.7545	50.6994	-52.9321
85.9107	49.4295	-44.3171
86.0669	50.0983	-48.1634
86.2231	51.6280	-56.2724
86.3793	49.3715	-51.4832
86.5355	51.6601	-50.6343
86.6917	51.1366	-54.5846
86.8479	51.0412	-50.0122
87.0041	50.1016	-51.0244
87.1603	50.8801	-53.6249
87.3165	49.6555	-55.3543
87.4727	51.9280	-52.4910
87.6289	51.0269	-52.2117
87.7851	49.8283	-55.2212
87.9413	49.6140	-43.4238
88.0975	50.8156	-55.3709
88.2537	53.7521	-52.2545
88.4099	50.6799	-47.8222
88.5661	51.2539	-55.5220
88.7223	49.8301	-61.7659
88.8785	53.9101	-57.8311
89.0347	50.8363	-52.7411
89.1909	51.1248	-49.1042
89.3471	52.2672	-56.5123
89.5033	52.2205	-57.8362
89.6595	50.4697	-52.7012
89.8157	54.6740	-56.0243
89.9719	52.0011	-55.9034
90.1281	53.0476	-51.3353
90.2843	51.1606	-62.3511
90.4405	53.5827	-51.7504
90.5967	54.3074	-56.0236
90.7529	53.1222	-53.2049
90.9091	54.3421	-50.8379
91.0653	53.2180	-47.1171
91.2215	52.2620	-50.4078
91.3777	52.6034	-50.1911
91.5339	55.8371	-48.9459
91.6901	50.9751	-54.8083
91.8463	52.4950	-57.4923
92.0025	54.3519	-60.5748
92.1587	52.9368	-55.4941
92.3149	51.8165	-53.3840
92.4711	52.8318	-55.3867
92.6273	51.7596	-54.1581
92.7835	54.6006	-58.8293
92.9397	54.1382	-58.4915
93.0959	53.3297	-59.1773
93.2521	52.7913	-56.7079
93.4083	53.2073	-55.2585
93.5645	53.6907	-60.4684
93.7207	53.0245	-54.4458
93.8769	54.4756	-61.8413
94.0331	52.6990	-51.2823
94.1893	55.5260	-53.3100
94.3455	52.2290	-58.6900
94.5017	53.0769	-58.4577
94.6579	53.3353	-63.3746
94.8141	53.5259	-55.7711
94.9703	55.3949	-64.6902
95.1265	55.8706	-64.3440
95.2827	55.6464	-53.1618
95.4389	53.8982	-59.8285
95.5951	53.5610	-58.4415
95.7513	53.3722	-60.0276
95.9075	55.2233	-53.6688
96.0637	54.5644	-55.4123
96.2199	55.7776	-47.9111
96.3761	55.3785	-65.8129
96.5323	55.8035	-60.3497
96.6885	56.3697	-51.1551
96.8447	53.8795	-52.0522
97.0009	55.5696	-66.3017
97.1571	56.0080	-62.5500
97.3133	54.2492	-62.4740
97.4695	54.7027	-56.9732
97.6257	56.5846	-59.0730
97.7819	55.2093	-51.7129
97.9381	55.6954	-69.3842
98.0943	56.0272	-61.2915
98.2505	55.9142	-48.5047
98.4067	53.8382	-49.8563
98.5629	54.6133	-61.6827
98.7192	56.2255	-54.9936
98.8754	53.5251	-56.8359
99.0316	54.9726	-53.3378
99.1878	54.5648	-59.8218
99.3440	57.3631	-62.6484
99.5002	55.4284	-64.8866
99.6564	55.7323	-65.6283
99.8126	55.2299	-64.9164
99.9688	54.4632	-60.2728
100.1250	53.1113	-60.3221
100.2812	53.4951	-60.3025
100.4374	54.7902	-54.7031
100.5936	55.3087	-66.7237
100.7498	52.7319	-60.7480
100.9060	54.1530	-65.7528
101.0622	56.0081	-60.9218
101.2184	55.2926	-64.8457
101.3746	53.7909	-64.3849
101.5308	55.8413	-66.3218
101.6870	54.4182	-62.3769
101.8432	53.7218	-64.7831
101.9994	52.6394	-67.3805
102.1556	55.2473	-59.7859
102.3118	56.1143	-66.2776
102.4680	56.9347	-63.3236
102.6242	55.7525	-68.8245
102.7804	57.1523	-67.1158
102.9366	54.3381	-70.2808
103.0928	53.9269	-66.3197
103.2490	56.3242	-60.0844
103.4052	55.2213	-68.1065
103.5614	56.1427	-62.4673
103.7176	55.7161	-69.9082
103.8738	54.2407	-70.8542
104.0300	55.3975	-67.2864
104.1862	54.5745	-62.7555
104.3424	54.4538	-69.6157
104.4986	52.7479	-67.8003
104.6548	53.9685	-72.9910
104.8110	51.1421	-68.8584
104.9672	56.0826	-64.4474
105.1234	53.3441	-70.3505
105.2796	54.2006	-79.7528
105.4358	54.3503	-72.3660
105.5920	56.0957	-64.1041
105.7482	53.7836	-79.1479
105.9044	53.5457	-73.1656
106.0606	56.3600	-68.8809
106.2168	54.0319	-72.1639
106.3730	53.9416	-71.0699
106.5292	54.6770	-66.1681
106.6854	54.1850	-78.5175
106.8416	54.2267	-70.7186
106.9978	55.2191	-70.3101
107.1540	53.4461	-76.2612
107.3102	55.8541	-75.6310
107.4664	53.1558	-78.3727
107.6226	54.8974	-77.0784
107.7788	53.3882	-78.1203
107.9350	52.5506	-74.4952
108.0912	53.2938	-84.8026
108.2474	53.3121	-74.2805
108.4036	53.5524	-81.9092
108.5598	53.8664	-77.2776
108.7160	52.8789	-78.7033
108.8722	53.3852	-76.0487
109.0284	55.6428	-78.8886
109.1846	54.2234	-73.4480
109.3408	53.9009	-79.5859
109.4970	52.5557	-74.6013
109.6532	51.9579	-84.6151
109.8094	54.1692	-75.2499
109.9656	51.9283	-84.7070
110.1218	51.7547	-84.1668
110.2780	51.9541	-87.2784
110.4342	50.1898	-86.1424
110.5904	54.3290	-80.2087
110.7466	51.7645	-79.6181
110.9028	52.9126	-83.6567
111.0590	53.3214	-79.5520
111.2152	52.5449	-87.9596
111.3714	50.9445	-88.9208
111.5276	55.5279	-87.4171
111.6838	51.6560	-79.6642
111.8400	52.5444	-88.6269
111.9963	51.1878	-84.9530
112.1525	51.3155	-86.7842
112.3087	51.5165	-78.6694
112.4649	52.3635	-89.7091
112.6211	50.0164	-85.5670
112.7773	52.5436	-85.1156
112.9335	52.3910	-88.3576
113.0897	48.5839	-81.1173
113.2459	51.9139	-82.4092
113.4021	52.4912	-90.0270
113.5583	50.5517	-88.0011
113.7145	51.3046	-85.7900
113.8707	50.9314	-87.4580
114.0269	49.2320	-80.0514
114.1831	50.6203	-92.0349
114.3393	51.9694	-92.1576
114.4955	52.0287	-87.6771
114.6517	50.1355	-88.1665
114.8079	51.6188	-88.2040
114.9641	48.9420	-92.3557
115.1203	50.5994	-92.0874
115.2765	50.3346	-93.5854
115.4327	51.5746	-86.0112
115.5889	50.1929	-91.2984
115.7451	50.8209	-96.9593
115.9013	49.8128	-89.4129
116.0575	48.6692	-90.8907
116.2137	49.6696	-97.1852
116.3699	48.5699	-95.0076
116.5261	46.7927	-92.2357
116.6823	50.8513	-98.8588
116.8385	50.6796	-96.0557
116.9947	49.5827	-96.6626
117.1509	48.6078	-91.6062
117.3071	48.3478	-91.7699
117.4633	47.6905	-92.5131
117.6195	48.8579	-90.9181
117.7757	47.4670	-94.4385
117.9319	47.7169	-96.6969
118.0881	49.3765	-93.0736
118.2443	48.0256	-99.6630
118.4005	47.9388	-102.8811
118.5567	47.8282	-91.2162
118.7129	47.5123	-93.6119
118.8691	47.0669	-94.3915
119.0253	47.3546	-97.1318
119.1815	47.9862	-96.6557
119.3377	46.7841	-102.8341
119.4939	46.8422	-93.5931
119.6501	45.4728	-100.5197
119.8063	46.6221	-102.4327
119.9625	46.5577	-103.7862
120.1187	45.6091	-92.7979
120.2749	47.3297	-97.9908
120.4311	46.3114	-102.9799
120.5873	45.5881	-99.6524
120.7435	45.1036	-100.5116
120.8997	44.9144	-101.4637
121.0559	44.8522	-104.3219
121.2121	45.8442	-105.8469
121.3683	44.7589	-99.9513
121.5245	44.5684	-110.1748
121.6807	44.6526	-101.3122
121.8369	45.1638	-99.3880
121.9931	46.7758	-99.6200
122.1493	44.4201	-104.8662
122.3055	42.3514	-104.3321
122.4617	44.8264	-107.0590
122.6179	47.2666	-104.4143
122.7741	45.4262	-101.1876
122.9303	43.4056	-107.6829
123.0865	46.5441	-104.0430
123.2427	42.5089	-104.2846
123.3989	44.3303	-99.1082
123.5551	42.3437	-114.1404
123.7113	44.5338	-112.8739
123.8675	45.3831	-106.3603
124.0237	43.6104	-102.9672
124.1799	45.4553	-113.1548
124.3361	44.4741	-105.8765
124.4923	44.4748	-102.4693
124.6485	41.5174	-113.1279
124.8047	43.2405	-105.2287
124.9609	44.1654	-107.4510
125.1172	41.6295	-109.2293
125.2734	41.7515	-109.6841
125.4296	42.2081	-113.3924
125.5858	41.4323	-105.7065
125.7420	43.9694	-109.3345
125.8982	43.0601	-108.1288
126.0544	42.6235	-118.2562
126.2106	40.0410	-114.5473
126.3668	39.8513	-111.9664
126.5230	40.6557	-114.3202
126.6792	41.4372	-110.3828
126.8354	41.9659	-109.6310
126.9916	41.1901	-114.0530
127.1478	41.1201	-110.6092
127.3040	40.5937	-113.7271
127.4602	40.9318	-124.5771
127.6164	42.0907	-110.0053
127.7726	39.5027	-117.2721
127.9288	37.7044	-110.9810
128.0850	39.1423	-110.6029
128.2412	41.0458	-122.0628
128.3974	39.7886	-117.9234
128.5536	39.4869	-115.1263
128.7098	39.9202	-118.7403
128.8660	40.3638	-118.7073
129.0222	39.3363	-121.6122
129.1784	37.0843	-121.3925
129.3346	37.6991	-112.4983
129.4908	37.9969	-123.3478
129.6470	36.6486	-116.4431
129.8032	36.6409	-124.2263
129.9594	37.4118	-123.7377
130.1156	37.2302	-125.4995
130.2718	35.4860	-119.2913
130.4280	39.8718	-118.6437
130.5842	36.3746	-125.5514
130.7404	38.2078	-128.2264
130.8966	36.1909	-116.6637
131.0528	38.0360	-120.2132
131.2090	37.2644	-125.9236
131.3652	37.9978	-127.1722
131.5214	36.7142	-124.0172
131.6776	37.7165	-123.0384
131.8338	36.3067	-118.4533
131.9900	36.8353	-119.2035
132.1462	36.2231	-124.9318
132.3024	37.2551	-127.0317
132.4586	36.6342	-117.2562
132.6148	37.2918	-119.9276
132.7710	36.4064	-124.8706
132.9272	38.0135	-127.3060
133.0834	35.5753	-122.0965
133.2396	33.4539	-118.2559
133.3958	35.2217	-125.5985
133.5520	35.2078	-117.2724
133.7082	35.1390	-122.1627
133.8644	34.8597	-122.8496
134.0206	35.8891	-121.5820
134.1768	35.9959	-115.9449
134.3330	33.5078	-117.6834
134.4892	33.7946	-116.5286
134.6454	35.4353	-120.2537
134.8016	34.4788	-119.1398
134.9578	34.0178	-116.5437
135.1140	35.0424	-113.8832
135.2702	33.8702	-117.3346
135.4264	35.5285	-119.8606
135.5826	31.5181	-124.2694
135.7388	34.4509	-117.9586
135.8950	33.6757	-119.3729
136.0512	32.3464	-121.0565
136.2074	34.4698	-120.5286
136.3636	31.9631	-113.9674
